date,value,cash,holdings_value,shares
2021-09-23 04:00:00,32372.241833500015,1497.4678335000135,30874.774,215
2021-09-24 04:00:00,32391.161833500013,1497.4678335000135,30893.694,215
2021-09-27 04:00:00,32065.221833500014,1497.4678335000135,30567.754,215
2021-09-28 04:00:00,31337.683333500012,1497.4678335000135,29840.2155,215
2021-09-29 04:00:00,31531.11883350001,1497.4678335000135,30033.650999999998,215
2021-09-30 04:00:00,31251.468333500015,1497.4678335000135,29754.000500000002,215
2021-10-01 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-04 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-05 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-06 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-07 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-08 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-11 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-12 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-13 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-14 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-15 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-18 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-19 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-20 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-21 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-22 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-25 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-26 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-27 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-28 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-10-29 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-11-01 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-11-02 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-11-03 04:00:00,31463.283022500014,31463.283022500014,0.0,0
2021-11-04 04:00:00,31433.459176900014,1609.6135769000139,29823.8456,202
2021-11-05 04:00:00,31540.296976900012,1609.6135769000139,29930.683399999998,202
2021-11-08 05:00:00,31374.111576900013,1609.6135769000139,29764.498,202
2021-11-09 05:00:00,31447.316376900013,1609.6135769000139,29837.7028,202
2021-11-10 05:00:00,30875.53517690001,1609.6135769000139,29265.921599999998,202
2021-11-11 05:00:00,30865.63717690001,1609.6135769000139,29256.023599999997,202
2021-11-12 05:00:00,31285.069976900013,1609.6135769000139,29675.4564,202
2021-11-15 05:00:00,31287.049576900015,1609.6135769000139,29677.436,202
2021-11-16 05:00:00,31484.908576900016,1609.6135769000139,29875.295000000002,202
2021-11-17 05:00:00,31977.546176900014,1609.6135769000139,30367.9326,202
2021-11-18 05:00:00,32844.12617690001,1609.6135769000139,31234.5126,202
2021-11-19 05:00:00,33374.37617690001,1609.6135769000139,31764.7626,202
2021-11-22 05:00:00,33467.356776900015,1609.6135769000139,31857.7432,202
2021-11-23 05:00:00,33544.52077690001,1609.6135769000139,31934.9072,202
2021-11-24 05:00:00,33649.378976900014,1609.6135769000139,32039.765399999997,202
2021-11-26 05:00:00,32634.409776900015,1609.6135769000139,31024.7962,202
2021-11-29 05:00:00,33313.02877690001,1609.6135769000139,31703.4152,202
2021-11-30 05:00:00,34314.160976900006,1609.6135769000139,32704.547399999996,202
2021-12-01 05:00:00,34209.28257690002,1609.6135769000139,32599.669,202
2021-12-02 05:00:00,34009.464176900015,1609.6135769000139,32399.850599999998,202
2021-12-03 05:00:00,33629.60317690001,1609.6135769000139,32019.9896,202
2021-12-06 05:00:00,34318.12017690002,1609.6135769000139,32708.5066,202
2021-12-07 05:00:00,35477.49917690002,1609.6135769000139,33867.8856,202
2021-12-08 05:00:00,36249.11897690002,1609.6135769000139,34639.5054,202
2021-12-09 05:00:00,36146.24037690001,1609.6135769000139,34536.6268,202
2021-12-10 05:00:00,37113.719376900015,1609.6135769000139,35504.1058,202
2021-12-13 05:00:00,36379.71197690001,1609.6135769000139,34770.0984,202
2021-12-14 05:00:00,36100.729776900014,1609.6135769000139,34491.1162,202
2021-12-15 05:00:00,37084.04557690001,1609.6135769000139,35474.432,202
2021-12-16 05:00:00,35691.17477690001,1609.6135769000139,34081.5612,202
2021-12-17 05:00:00,35469.60097690002,1609.6135769000139,33859.987400000005,202
2021-12-20 05:00:00,35194.57797690002,1609.6135769000139,33584.964400000004,202
2021-12-21 05:00:00,35835.604776900014,1609.6135769000139,34225.9912,202
2021-12-22 05:00:00,36359.91597690001,1609.6135769000139,34750.3024,202
2021-12-23 05:00:00,36486.54977690001,1609.6135769000139,34876.9362,202
2021-12-27 05:00:00,37287.82317690001,1609.6135769000139,35678.2096,202
2021-12-28 05:00:00,37082.06597690002,1609.6135769000139,35472.4524,202
2021-12-29 05:00:00,37099.86217690002,1609.6135769000139,35490.2486,202
2021-12-30 05:00:00,36866.41077690001,1609.6135769000139,35256.7972,202
2021-12-31 05:00:00,36741.77677690002,1609.6135769000139,35132.1632,202
2022-01-03 05:00:00,37620.214176900015,1609.6135769000139,36010.6006,202
2022-01-04 05:00:00,37163.18917690002,1609.6135769000139,35553.575600000004,202
2022-01-05 05:00:00,36217.46557690001,1609.6135769000139,34607.852,202
2022-01-06 05:00:00,35639.74557690002,1609.6135769000139,34030.132000000005,202
2022-01-07 05:00:00,35673.37857690001,1609.6135769000139,34063.765,202
2022-01-10 05:00:00,35677.33777690001,1609.6135769000139,34067.7242,202
2022-01-11 05:00:00,36249.11897690002,1609.6135769000139,34639.5054,202
2022-01-12 05:00:00,36338.14037690002,1609.6135769000139,34728.5268,202
2022-01-13 05:00:00,35677.33777690001,1609.6135769000139,34067.7242,202
2022-01-14 05:00:00,35851.44157690002,1609.6135769000139,34241.828,202
2022-01-18 05:00:00,35204.47597690002,1609.6135769000139,33594.862400000005,202
2022-01-19 05:00:00,34498.14257690002,1609.6135769000139,32888.529,202
2022-01-20 05:00:00,34157.85337690001,1609.6135769000139,32548.2398,202
2022-01-21 05:00:00,33742.35957690002,1609.6135769000139,32132.746000000003,202
2022-01-24 05:00:00,33586.07217690001,1609.6135769000139,31976.458599999998,202
2022-01-25 05:00:00,33222.02777690001,1609.6135769000139,31612.4142,202
2022-01-26 05:00:00,33204.21137690001,1609.6135769000139,31594.597799999996,202
2022-01-27 05:00:00,33111.23077690002,1609.6135769000139,31501.6172,202
2022-01-28 05:00:00,35309.33417690001,1609.6135769000139,33699.7206,202
2022-01-31 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-01 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-02 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-03 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-04 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-07 05:00:00,36155.191219100016,36155.191219100016,0.0,0
2022-02-08 05:00:00,36155.191219100016,36155.191219100016,0.0,0
